Stations_id,Datenquelle,Jan.,Feb.,M�rz,Apr.,Mai,Jun.,Jul.,Aug.,Sept.,Okt.,Nov.,Dez.,Jahr
3268,46,      -1.8,      -1.1,2,       4.8,       9.8,      12.6,15,      14.6,      11.1,       6.7,       1.7,       -.5,       6.2
3271,51,      -1.8,       -.5,       3.8,8,      13.2,      15.7,      17.4,17,13,       8.1,       2.9,       -.2,8
3278,46,        .5,       1.4,       5.1,       8.4,      13.2,      15.9,      18.2,      17.7,      13.8,       9.1,       4.1,       1.7,       9.1
3284,46,1,       1.7,       5.4,       8.6,      13.5,      16.4,      18.5,18,      14.1,       9.3,       4.5,       2.2,       9.4
3287,46,       -.3,        .6,       4.1,       7.2,12,      14.8,17,      16.8,13,       8.3,       3.3,1,       8.2
3289,51,       -.2,0,       3.6,       6.9,12,      14.8,      16.8,      16.6,      13.1,       8.4,       3.6,1,8
3291,46,       1.3,       1.9,       5.7,       8.8,      13.5,      16.5,      18.6,      18.1,      14.2,       9.5,       4.8,       2.5,       9.6
3300,46,1,       1.8,       5.5,       8.7,      13.7,      16.5,      18.5,18,      14.1,       9.3,       4.6,       2.2,       9.5
3307,51,      -1.3,       -.6,       2.3,       5.2,      10.4,      12.9,      15.1,      14.7,      11.6,       7.8,       2.4,       -.4,       6.6
3313,46,        .2,1,       4.5,       7.6,      12.3,15,      17.2,      17.1,      13.4,       8.7,       3.7,       1.4,       8.5
3317,46,        .6,       1.1,4,       7.3,      12.4,      15.2,      17.2,      16.9,      13.1,       8.8,       4.5,2,       8.6
3319,46,        .7,       1.3,       5.1,       8.3,13,      15.9,18,      17.6,      13.7,9,       4.2,       1.9,9
3320,46,       2.8,       3.2,       6.2,       9.1,      13.7,      16.2,      18.4,18,      14.5,      10.5,       6.1,       3.9,      10.2
3340,46,        .6,       1.1,       4.6,       7.7,      12.5,      15.4,      17.3,      16.9,13,       8.6,       4.1,       1.9,       8.6
3348,46,        .1,        .5,       3.8,       7.1,      11.9,      14.6,      16.6,      16.4,      12.8,       8.4,       3.8,       1.4,       8.1
3362,46,       1.2,2,       5.7,       8.9,      13.7,      16.5,      18.7,      18.3,      14.4,       9.6,       4.7,       2.4,       9.7
3366,51,      -1.4,       -.1,       3.9,       7.5,      12.8,      15.9,      17.8,      17.3,      12.9,8,       2.7,       -.1,       8.1
3370,46,       -.1,        .3,       3.7,       7.1,12,      14.7,      16.8,      16.5,      12.7,       8.3,       3.6,       1.1,       8.1
3376,51,       -.4,        .2,       3.6,       7.9,      13.4,      16.2,      18.2,      17.8,      13.4,       8.6,       3.7,1,       8.5
3379,46,        .3,       1.4,       5.3,       8.7,      13.9,      16.6,      18.9,      18.6,      14.7,       9.6,       4.1,       1.5,       9.5
3382,46,       -.5,        .5,       4.5,       7.9,      13.1,      15.9,      18.1,      17.7,      13.9,       8.9,       3.3,        .7,       8.7
3383,46,       -.6,        .5,       4.4,       7.8,      13.1,      15.8,18,      17.6,      13.8,       8.7,       3.4,        .7,       8.6
3385,51,       -.4,        .4,       4.5,       7.9,13,      15.5,      17.8,      17.4,      13.5,       8.6,       3.4,        .8,       8.5
3388,46,       -.8,        .3,       4.1,       7.5,      12.8,      15.5,      17.7,      17.4,      13.5,       8.5,       3.1,        .5,       8.3
3390,46,       -.9,0,4,       7.5,      12.8,      15.5,      17.7,      17.4,      13.5,       8.4,3,        .5,       8.3
3402,51,      -1.7,       -.9,       2.7,       5.9,      10.9,      13.6,      15.9,      15.5,      11.7,       7.2,2,       -.5,       6.8
3404,46,       2.3,       2.7,       5.6,       8.7,      13.4,      15.8,      17.9,      17.6,14,10,       5.7,       3.5,       9.8
